"County Code","District Code","School Code","Filler","Test Year","Subgroup ID","Test Type","Total CAASPP Enrollment","Total Tested At Entity Level","Total Tested at Subgroup Level","Grade","Test Id","CAASPP Reported Enrollment","Students Tested","Mean Scale Score","Percentage Standard Exceeded","Percentage Standard Met","Percentage Standard Met and Above","Percentage Standard Nearly Met","Percentage Standard Not Met","Students with Scores","Area 1 Percentage Above Standard","Area 1 Percentage At or Near Standard","Area 1 Percentage Below Standard","Area 2 Percentage Above Standard","Area 2 Percentage At or Near Standard","Area 2 Percentage Below Standard","Area 3 Percentage Above Standard","Area 3 Percentage At or Near Standard","Area 3 Percentage Below Standard","Area 4 Percentage Above Standard","Area 4 Percentage At or Near Standard","Area 4 Percentage Below Standard"
"41","69039","0000000",,2015,7,"B",7542,7430,607,5,"2",1336,95,"2595.9","65","14","79","20","1",95,"68","23","8","58","36","6","63","34","3","0","0","0"
"41","69039","0000000",,2015,7,"B",7542,7430,607,5,"1",1336,95,"2589.7","52","39","91","6","3",95,"59","37","4","63","28","8","39","59","2","62","37","1"
"41","69039","0000000",,2015,7,"B",7542,7430,607,6,"1",1234,121,"2624.1","63","23","86","12","2",121,"59","33","8","68","28","4","44","54","2","64","34","2"
"41","69039","0000000",,2015,7,"B",7542,7430,607,6,"2",1234,122,"2632.0","67","16","83","11","7",122,"73","19","8","64","29","7","65","29","7","0","0","0"
"41","69039","0000000",,2015,7,"B",7542,7430,607,7,"2",1154,93,"2650.7","60","25","85","10","5",93,"67","26","8","65","31","4","67","30","3","0","0","0"
"41","69039","0000000",,2015,7,"B",7542,7430,607,7,"1",1154,94,"2651.5","59","33","92","5","2",93,"65","31","4","72","27","1","37","59","4","68","29","3"
"41","69039","0000000",,2015,7,"B",7542,7430,607,8,"1",1100,75,"2645.7","47","36","83","13","4",75,"64","28","8","58","36","5","29","67","4","56","41","3"
"41","69039","0000000",,2015,7,"B",7542,7430,607,8,"2",1100,75,"2641.9","55","12","67","21","12",75,"53","29","17","55","35","11","51","41","8","0","0","0"
"41","69039","0000000",,2015,7,"B",7542,7430,607,13,"2",7542,604,"","63","19","82","13","4",603,"70","23","7","64","31","6","64","32","4","0","0","0"
"41","69039","0000000",,2015,7,"B",7542,7430,607,13,"1",7542,606,"","58","29","87","11","3",604,"58","36","6","63","32","4","41","57","2","59","37","4"
"41","69039","0000000",,2015,8,"B",7542,7430,1549,3,"1",1376,147,"2467.6","35","41","76","20","3",147,"36","56","7","28","66","5","29","69","2","31","64","5"
"41","69039","0000000",,2015,8,"B",7542,7430,1549,3,"2",1376,147,"2498.3","49","41","90","8","3",146,"68","28","3","51","45","4","63","35","2","0","0","0"
"41","69039","0000000",,2015,8,"B",7542,7430,1549,4,"2",1342,222,"2528.5","40","33","73","24","3",222,"56","32","12","45","45","10","47","44","9","0","0","0"
"41","69039","0000000",,2015,8,"B",7542,7430,1549,4,"1",1342,222,"2509.0","40","28","68","22","11",222,"37","47","16","36","57","8","25","65","9","34","58","8"
"41","69039","0000000",,2015,8,"B",7542,7430,1549,5,"1",1336,294,"2524.4","20","39","60","26","15",294,"25","53","22","35","44","21","18","71","11","33","61","6"
"41","69039","0000000",,2015,8,"B",7542,7430,1549,5,"2",1336,294,"2534.3","30","22","52","31","18",293,"35","34","31","29","49","22","27","49","24","0","0","0"
"41","69039","0000000",,2015,8,"B",7542,7430,1549,6,"1",1234,278,"2551.5","21","37","58","35","8",278,"24","54","22","26","59","15","15","79","5","39","55","6"
"41","69039","0000000",,2015,8,"B",7542,7430,1549,6,"2",1234,279,"2553.9","30","18","48","33","18",277,"33","38","30","27","49","25","29","52","19","0","0","0"
"41","69039","0000000",,2015,8,"B",7542,7430,1549,7,"2",1154,315,"2553.1","24","17","41","33","26",314,"29","34","36","27","49","23","27","61","12","0","0","0"
"41","69039","0000000",,2015,8,"B",7542,7430,1549,7,"1",1154,315,"2564.4","16","36","52","33","15",314,"21","50","29","34","49","17","15","73","12","30","61","10"
"41","69039","0000000",,2015,8,"B",7542,7430,1549,8,"2",1100,292,"2563.2","24","15","39","27","34",291,"27","31","42","26","51","23","27","42","31","0","0","0"
"41","69039","0000000",,2015,8,"B",7542,7430,1549,8,"1",1100,292,"2569.5","13","37","50","35","15",291,"22","53","25","24","54","22","13","73","13","25","62","13"
"41","69039","0000000",,2015,8,"B",7542,7430,1549,13,"1",7542,1548,"","22","36","59","29","12",1546,"26","52","22","31","54","16","18","72","10","32","60","8"
"41","69039","0000000",,2015,8,"B",7542,7430,1549,13,"2",7542,1549,"","31","22","53","28","19",1543,"38","33","29","32","48","20","34","49","18","0","0","0"
"41","69039","0000000",,2015,31,"B",7542,7430,2426,3,"2",1376,442,"2390.6","7","24","31","25","44",439,"15","35","50","11","40","49","13","52","35","0","0","0"
"41","69039","0000000",,2015,31,"B",7542,7430,2426,3,"1",1376,438,"2366.5","7","14","21","25","54",434,"7","37","56","9","38","53","7","59","34","9","45","46"
"41","69039","0000000",,2015,31,"B",7542,7430,2426,4,"1",1342,416,"2409.2","5","19","24","23","53",416,"7","41","52","6","50","45","5","61","34","6","54","39"
"41","69039","0000000",,2015,31,"B",7542,7430,2426,4,"2",1342,418,"2433.0","5","23","28","34","38",418,"14","33","53","7","47","46","9","44","47","0","0","0"
"41","69039","0000000",,2015,31,"B",7542,7430,2426,5,"2",1336,405,"2458.9","8","12","20","34","46",405,"12","29","59","8","42","50","8","43","50","0","0","0"
"41","69039","0000000",,2015,31,"B",7542,7430,2426,5,"1",1336,400,"2454.4","6","25","31","24","44",398,"9","40","51","13","41","46","7","60","33","15","58","28"
"41","69039","0000000",,2015,31,"B",7542,7430,2426,6,"1",1234,389,"2480.9","5","20","25","36","38",386,"8","41","52","7","52","41","6","68","26","14","62","25"
"41","69039","0000000",,2015,31,"B",7542,7430,2426,6,"2",1234,396,"2467.3","5","11","17","34","50",393,"9","30","61","6","41","53","7","49","44","0","0","0"
"41","69039","0000000",,2015,31,"B",7542,7430,2426,7,"2",1154,396,"2476.8","5","11","16","35","49",394,"8","34","59","7","49","44","7","65","28","0","0","0"
"41","69039","0000000",,2015,31,"B",7542,7430,2426,7,"1",1154,385,"2508.8","4","29","33","28","39",381,"8","45","48","19","45","36","6","65","29","16","58","27"
"41","69039","0000000",,2015,31,"B",7542,7430,2426,8,"1",1100,356,"2516.3","3","27","30","34","37",349,"10","45","45","9","49","42","5","65","31","13","58","29"
"41","69039","0000000",,2015,31,"B",7542,7430,2426,8,"2",1100,362,"2483.5","6","10","16","27","57",360,"8","26","65","8","53","39","7","43","50","0","0","0"
"41","69039","0000000",,2015,31,"B",7542,7430,2426,13,"2",7542,2419,"","6","16","22","31","47",2409,"11","31","58","8","45","47","9","49","42","0","0","0"
"41","69039","0000000",,2015,31,"B",7542,7430,2426,13,"1",7542,2384,"","5","22","27","28","45",2364,"8","41","51","10","46","44","6","63","31","12","56","33"
"41","69039","0000000",,2015,74,"B",7542,7430,108,3,"1",1376,18,"2429.4","39","11","50","17","33",18,"22","44","33","33","33","33","22","61","17","33","50","17"
"41","69039","0000000",,2015,74,"B",7542,7430,108,3,"2",1376,17,"2421.7","12","35","47","18","35",17,"24","41","35","18","53","29","24","53","24","0","0","0"
"41","69039","0000000",,2015,74,"B",7542,7430,108,4,"2",1342,22,"2412.8","0","23","23","41","36",22,"14","36","50","5","50","45","5","55","41","0","0","0"
"41","69039","0000000",,2015,74,"B",7542,7430,108,4,"1",1342,22,"2403.6","14","9","23","14","64",22,"14","23","64","10","43","48","5","68","27","0","43","57"
"41","69039","0000000",,2015,74,"B",7542,7430,108,5,"1",1336,16,"2481.9","13","27","40","27","33",15,"13","60","27","13","47","40","13","53","33","27","67","7"
"41","69039","0000000",,2015,74,"B",7542,7430,108,5,"2",1336,15,"2474.4","13","13","27","33","40",15,"20","27","53","20","40","40","13","47","40","0","0","0"
"41","69039","0000000",,2015,74,"B",7542,7430,108,6,"2",1234,11,"2550.3","36","9","45","27","27",11,"36","36","27","36","36","27","18","45","36","0","0","0"
"41","69039","0000000",,2015,74,"B",7542,7430,108,6,"1",1234,11,"2563.2","27","36","64","9","27",11,"45","45","9","30","50","20","18","73","9","36","64","0"
"41","69039","0000000",,2015,74,"B",7542,7430,108,7,"1",1154,11,"2475.4","9","27","36","9","55",11,"9","27","64","9","36","55","0","55","45","27","36","36"
"41","69039","0000000",,2015,74,"B",7542,7430,108,7,"2",1154,11,"2426.4","0","18","18","18","64",11,"9","18","73","9","27","64","0","45","55","0","0","0"
"41","69039","0000000",,2015,74,"B",7542,7430,108,8,"2",1100,29,"2521.6","21","10","31","21","48",29,"28","10","62","17","59","24","17","52","31","0","0","0"
"41","69039","0000000",,2015,74,"B",7542,7430,108,8,"1",1100,29,"2551.0","10","24","34","45","21",29,"17","52","31","14","52","34","17","62","21","14","72","14"
"41","69039","0000000",,2015,74,"B",7542,7430,108,13,"1",7542,107,"","18","21","39","24","38",106,"19","42","39","17","44","38","13","62","25","20","57","23"
"41","69039","0000000",,2015,74,"B",7542,7430,108,13,"2",7542,105,"","13","18","31","27","42",105,"22","27","51","16","48","36","13","50","36","0","0","0"
"41","69039","0000000",,2015,75,"B",7542,7430,12,3,"1",1376,3,"*","*","*","*","*","*",3,"*","*","*","*","*","*","*","*","*","*","*","*"
"41","69039","0000000",,2015,75,"B",7542,7430,12,3,"2",1376,3,"*","*","*","*","*","*",3,"*","*","*","*","*","*","*","*","*","*","*","*"
"41","69039","0000000",,2015,75,"B",7542,7430,12,4,"2",1342,2,"*","*","*","*","*","*",2,"*","*","*","*","*","*","*","*","*","*","*","*"
"41","69039","0000000",,2015,75,"B",7542,7430,12,4,"1",1342,2,"*","*","*","*","*","*",2,"*","*","*","*","*","*","*","*","*","*","*","*"
"41","69039","0000000",,2015,75,"B",7542,7430,12,5,"1",1336,2,"*","*","*","*","*","*",2,"*","*","*","*","*","*","*","*","*","*","*","*"
"41","69039","0000000",,2015,75,"B",7542,7430,12,5,"2",1336,2,"*","*","*","*","*","*",2,"*","*","*","*","*","*","*","*","*","*","*","*"
"41","69039","0000000",,2015,75,"B",7542,7430,12,7,"2",1154,2,"*","*","*","*","*","*",2,"*","*","*","*","*","*","*","*","*","*","*","*"
"41","69039","0000000",,2015,75,"B",7542,7430,12,7,"1",1154,2,"*","*","*","*","*","*",2,"*","*","*","*","*","*","*","*","*","*","*","*"
"41","69039","0000000",,2015,75,"B",7542,7430,12,8,"1",1100,3,"*","*","*","*","*","*",3,"*","*","*","*","*","*","*","*","*","*","*","*"
"41","69039","0000000",,2015,75,"B",7542,7430,12,8,"2",1100,3,"*","*","*","*","*","*",3,"*","*","*","*","*","*","*","*","*","*","*","*"
"41","69039","0000000",,2015,75,"B",7542,7430,12,13,"2",7542,12,"","8","17","25","25","50",12,"8","33","58","8","50","42","0","50","50","0","0","0"
"41","69039","0000000",,2015,75,"B",7542,7430,12,13,"1",7542,12,"","0","33","33","17","50",12,"17","33","50","8","42","50","8","50","42","8","50","42"
"41","69039","0000000",,2015,76,"B",7542,7430,1697,3,"1",1376,330,"2479.6","48","26","75","16","9",330,"45","41","14","44","46","10","36","59","4","42","47","11"
"41","69039","0000000",,2015,76,"B",7542,7430,1697,3,"2",1376,332,"2511.0","58","31","89","7","5",330,"75","19","6","65","31","4","63","33","4","0","0","0"
"41","69039","0000000",,2015,76,"B",7542,7430,1697,4,"2",1342,297,"2568.0","67","26","93","5","2",297,"83","14","3","71","25","4","71","26","4","0","0","0"
