"County Code","District Code","School Code","Filler","Test Year","Subgroup ID","Test Type","Total CAASPP Enrollment","Total Tested At Entity Level","Total Tested with Scores","Grade","Test Id","CAASPP Reported Enrollment","Students Tested","Mean Scale Score","Percentage Standard Exceeded","Percentage Standard Met","Percentage Standard Met and Above","Percentage Standard Nearly Met","Percentage Standard Not Met","Students with Scores","Area 1 Percentage Above Standard","Area 1 Percentage Near Standard","Area 1 Percentage Below Standard","Area 2 Percentage Above Standard","Area 2 Percentage Near Standard","Area 2 Percentage Below Standard","Area 3 Percentage Above Standard","Area 3 Percentage Near Standard","Area 3 Percentage Below Standard","Area 4 Percentage Above Standard","Area 4 Percentage Near Standard","Area 4 Percentage Below Standard"
"41","69039","6044887",,2016,160,"B",100,"100",100,5,"1",22,"22","2402.2","0","0","0","14","86","22","0","32","68","0","18","82","0","45","55","0","73","27"
"41","69039","6044887",,2016,160,"B",100,"100",100,5,"2",22,"22","2452.5","0","5","5","50","45","22","5","41","55","0","45","55","5","36","59","0","0","0"
"41","69039","6044887",,2016,160,"B",100,"100",100,13,"2",100,"100","","1","7","8","42","50","100","4","25","71","1","48","51","3","51","46","0","0","0"
"41","69039","6044887",,2016,160,"B",100,"100",100,13,"1",100,"100","","0","5","5","29","66","100","0","31","69","0","29","71","1","60","39","0","59","41"
"41","69039","6044887",,2016,180,"B",92,"91",90,3,"1",28,"27","2451.6","38","19","58","27","15","26","42","38","19","36","52","12","31","62","8","15","65","19"
"41","69039","6044887",,2016,180,"B",92,"91",90,3,"2",28,"27","2463.2","42","15","58","35","8","26","46","38","15","46","42","12","38","54","8","0","0","0"
"41","69039","6044887",,2016,180,"B",92,"91",90,4,"2",33,"33","2466.3","15","21","36","42","21","33","18","33","48","18","58","24","15","55","30","0","0","0"
"41","69039","6044887",,2016,180,"B",92,"91",90,4,"1",33,"33","2458.3","21","12","33","39","27","33","21","42","36","24","52","24","12","70","18","18","61","21"
"41","69039","6044887",,2016,180,"B",92,"91",90,5,"1",31,"31","2522.4","19","48","68","16","16","31","26","45","29","35","45","19","23","68","10","39","52","10"
"41","69039","6044887",,2016,180,"B",92,"91",90,5,"2",31,"31","2543.5","32","29","61","26","13","31","42","39","19","32","48","19","29","61","10","0","0","0"
"41","69039","6044887",,2016,180,"B",92,"91",90,13,"2",92,"91","","29","22","51","34","14","90","34","37","29","31","50","19","27","57","17","0","0","0"
"41","69039","6044887",,2016,180,"B",92,"91",90,13,"1",92,"91","","26","27","52","28","20","90","29","42","29","31","49","19","21","67","12","24","59","17"
"41","69039","6044887",,2016,204,"B",134,"134",134,3,"1",51,"51","2359.7","4","10","14","35","51","51","4","39","57","2","29","69","6","65","29","4","55","41"
"41","69039","6044887",,2016,204,"B",134,"134",134,3,"2",51,"51","2385.3","0","16","16","39","45","51","4","31","65","2","65","33","0","73","27","0","0","0"
"41","69039","6044887",,2016,204,"B",134,"134",134,4,"2",46,"46","2427.0","7","13","20","39","41","46","11","22","67","9","35","57","15","43","41","0","0","0"
"41","69039","6044887",,2016,204,"B",134,"134",134,4,"1",46,"46","2410.6","7","9","15","39","46","46","7","37","57","4","46","50","4","67","28","9","54","37"
"41","69039","6044887",,2016,204,"B",134,"134",134,5,"1",37,"37","2439.1","3","19","22","16","62","37","3","43","54","11","22","68","3","59","38","11","70","19"
"41","69039","6044887",,2016,204,"B",134,"134",134,5,"2",37,"37","2472.6","0","19","19","41","41","37","5","41","54","5","51","43","3","59","38","0","0","0"
"41","69039","6044887",,2016,204,"B",134,"134",134,13,"2",134,"134","","2","16","18","40","43","134","7","31","63","5","51","44","6","59","35","0","0","0"
"41","69039","6044887",,2016,204,"B",134,"134",134,13,"1",134,"134","","4","12","16","31","52","134","4","40","56","5","33","62","4","64","31","7","59","34"
"41","69039","6044887",,2016,206,"B",3,"3",3,3,"1",3,"3","*","*","*","*","*","*","3","*","*","*","*","*","*","*","*","*","*","*","*"
"41","69039","6044887",,2016,206,"B",3,"3",3,3,"2",3,"3","*","*","*","*","*","*","3","*","*","*","*","*","*","*","*","*","*","*","*"
"41","69039","6044887",,2016,206,"B",3,"3",3,13,"2",3,"3","","*","*","*","*","*","3","*","*","*","*","*","*","*","*","*","*","*","*"
"41","69039","6044887",,2016,206,"B",3,"3",3,13,"1",3,"3","","*","*","*","*","*","3","*","*","*","*","*","*","*","*","*","*","*","*"
"41","69039","6044887",,2016,207,"B",1,"1",1,3,"1",1,"1","*","*","*","*","*","*","1","*","*","*","*","*","*","*","*","*","*","*","*"
"41","69039","6044887",,2016,207,"B",1,"1",1,3,"2",1,"1","*","*","*","*","*","*","1","*","*","*","*","*","*","*","*","*","*","*","*"
"41","69039","6044887",,2016,207,"B",1,"1",1,13,"2",1,"1","","*","*","*","*","*","1","*","*","*","*","*","*","*","*","*","*","*","*"
"41","69039","6044887",,2016,207,"B",1,"1",1,13,"1",1,"1","","*","*","*","*","*","1","*","*","*","*","*","*","*","*","*","*","*","*"
"41","69039","6044887",,2016,220,"B",1,"1",1,4,"2",1,"1","*","*","*","*","*","*","1","*","*","*","*","*","*","*","*","*","*","*","*"
"41","69039","6044887",,2016,220,"B",1,"1",1,4,"1",1,"1","*","*","*","*","*","*","1","*","*","*","*","*","*","*","*","*","*","*","*"
"41","69039","6044887",,2016,220,"B",1,"1",1,13,"1",1,"1","","*","*","*","*","*","1","*","*","*","*","*","*","*","*","*","*","*","*"
"41","69039","6044887",,2016,220,"B",1,"1",1,13,"2",1,"1","","*","*","*","*","*","1","*","*","*","*","*","*","*","*","*","*","*","*"
"41","69039","6044887",,2016,222,"B",1,"1",1,4,"2",1,"1","*","*","*","*","*","*","1","*","*","*","*","*","*","*","*","*","*","*","*"
